Em.grupo.de.estudos.não.costumo.me.manifestar.,Prefiro.realizar.atividades.de.estudo.em.grupo,Costumo.manifestar.minhas.opiniões.nos.grupos.de.discussões.,Prefiro.estudar.sozinho.,Em.sala.de.aula.eu.me.considero.reservado.,Aprendo.melhor.estudando.o.conteúdo.da.disciplina.com.outras.pessoas.,Aprendo.mais.a.disciplina.quando.ajudo.meus.colegas.a.estudar.,Participo.da.aula.apenas.quando.sou.requisitado.,Gosto.de.estudar.tanto.em.grupo.quanto.sozinho,Em.sala.de.aula.eu.trabalho.melhor.sozinho.
2,1,1,3,1,2,2,3,3,2
2,2,1,3,2,2,1,3,3,2
1,2,2,3,3,2,2,3,2,3
2,2,3,2,3,3,2,3,3,2
1,3,3,1,2,3,3,1,3,1
2,2,2,1,2,2,1,3,3,3
2,2,2,3,2,2,1,2,1,3
3,1,1,3,3,2,3,1,2,2
3,2,1,2,3,3,3,2,3,3
2,2,1,3,2,2,1,2,2,2
2,2,2,2,1,2,1,2,3,1
1,1,2,3,3,1,3,2,1,3
1,3,3,2,1,3,1,2,3,1
2,2,1,2,1,3,2,2,3,1
1,3,2,1,2,3,2,2,2,1
1,3,1,1,2,3,2,1,3,1
2,2,1,1,2,2,2,2,2,1
1,3,2,1,1,3,2,1,3,2
3,1,2,3,3,1,1,1,2,1
3,2,1,3,2,2,2,3,2,2
2,2,1,3,3,3,3,2,3,1
3,1,1,3,3,2,3,3,1,3
1,2,1,1,1,2,3,1,3,1
1,2,2,1,2,3,2,2,3,1
1,2,3,1,2,2,3,1,3,1
3,3,3,3,1,3,3,3,3,3
2,1,2,3,3,2,2,3,1,3
3,1,1,3,3,1,2,3,3,3
3,2,1,2,3,2,1,3,2,3
2,2,2,3,2,2,2,3,2,3
1,2,1,3,2,2,3,3,2,1
1,1,3,1,1,3,3,1,3,1
2,2,1,3,1,2,2,2,2,2
2,2,1,3,2,2,3,2,3,1
1,2,3,1,2,2,3,1,3,1
2,2,2,2,1,3,3,3,3,1
1,2,3,3,1,3,3,1,2,3
1,1,2,3,1,1,3,1,1,1
3,1,2,3,3,2,1,3,1,1
2,3,2,1,1,3,2,2,3,1
2,2,1,2,2,2,2,2,2,2
2,3,2,1,1,2,2,2,3,1
2,1,3,3,1,2,2,1,2,2
2,2,2,2,3,2,2,3,3,1
1,2,2,1,1,3,2,2,2,1
2,2,1,3,3,2,1,3,2,1
2,2,2,1,1,3,2,1,3,1
1,2,2,2,1,3,3,3,2,1
1,3,3,1,3,3,3,1,3,1
2,1,1,3,1,2,2,2,2,1
2,2,1,1,2,3,3,2,3,1
2,2,2,2,2,2,2,3,2,2
2,3,2,1,1,3,3,1,2,1
2,2,2,2,1,2,1,2,2,1
1,2,1,2,2,3,2,1,3,1
2,2,2,2,1,3,3,1,3,1
1,2,2,2,1,2,2,1,3,2
2,2,2,2,2,2,2,2,3,1
1,3,2,3,1,2,2,1,2,2
3,3,2,1,2,3,3,3,3,1
3,2,1,2,2,2,2,2,2,1
2,2,1,1,1,2,2,1,2,1
2,2,1,3,2,2,3,1,2,1
2,3,2,2,3,2,3,3,3,1
1,3,3,2,1,2,2,2,2,1
2,2,1,2,2,2,2,3,2,2
2,2,1,2,3,2,3,3,3,2
1,1,2,3,1,2,3,1,1,3
2,1,3,3,1,1,2,1,1,3
3,3,3,1,1,2,3,1,3,1
2,1,1,3,2,2,2,3,2,2
1,2,2,1,2,3,2,2,2,1
2,3,1,2,1,2,2,3,3,2
2,2,3,2,1,2,2,2,3,2
2,3,2,2,2,3,3,2,3,2
2,2,1,2,1,3,2,2,3,1
3,1,1,3,2,3,2,3,2,3
1,2,3,1,1,2,2,2,3,1
3,3,3,2,2,3,2,3,2,1
1,3,3,2,1,3,2,1,3,2
2,2,1,1,2,3,3,2,2,2
1,3,3,1,3,3,3,1,3,1
2,2,2,1,3,3,3,2,3,2
2,2,1,2,1,3,2,2,3,2
1,2,2,1,1,2,2,1,3,1
1,2,3,3,1,2,1,1,2,1
1,3,3,2,1,3,3,1,3,1
2,2,1,2,1,2,1,2,2,1
2,2,1,3,2,1,1,3,1,2
2,2,2,3,2,2,2,2,2,3
2,1,3,3,1,2,3,1,2,3
2,3,2,2,1,3,3,3,3,1
3,3,3,1,1,3,3,2,3,1
2,1,1,3,2,1,1,1,1,3
1,3,3,2,1,3,3,1,3,1
1,3,2,2,1,3,3,2,3,1
2,2,2,2,2,3,2,1,3,1
1,1,3,3,1,2,3,1,3,1
2,1,1,3,1,3,3,3,2,1
2,1,1,3,3,3,2,3,2,2
1,2,2,1,2,2,3,3,3,2
2,1,2,3,2,1,2,2,2,3
1,1,3,3,3,1,1,3,1,3
2,2,2,2,2,2,1,3,2,2
2,2,3,3,1,2,1,1,3,3
3,1,1,3,3,1,2,3,1,3
1,2,3,2,1,3,3,2,2,1
3,3,2,1,2,2,2,3,3,1
1,2,3,1,1,3,1,1,3,1
1,3,3,2,1,3,2,2,3,1
2,3,2,1,2,3,3,3,2,1
3,2,1,3,3,2,2,3,3,2
3,2,1,2,3,3,1,3,3,1
2,1,1,3,3,1,3,3,1,3
2,2,1,1,1,2,1,2,3,1
2,1,1,3,1,1,1,2,1,2
2,2,2,2,2,2,2,2,2,2
2,2,1,1,3,2,1,2,2,2
2,2,2,3,3,2,2,3,2,2
1,2,3,1,1,3,3,1,3,2
2,2,2,3,3,2,1,3,2,2
1,1,3,3,1,1,1,1,3,1
2,2,3,2,2,3,2,1,3,1
1,3,2,1,1,3,3,2,3,1
1,1,3,3,1,1,1,1,1,3
1,3,3,2,2,1,3,3,3,1
1,2,3,2,2,2,3,3,3,2
1,3,3,2,1,3,3,1,3,1
2,3,2,1,2,3,3,2,3,1
1,2,2,2,1,2,3,2,3,1
1,2,3,1,1,2,1,1,3,1
3,3,1,1,1,3,2,3,2,3
2,2,2,3,3,2,2,3,2,3
2,3,3,3,2,3,2,2,3,2
1,3,3,1,1,3,3,1,3,1
3,3,1,1,1,3,1,3,3,2
1,3,3,1,1,3,3,2,3,1
2,2,2,3,3,2,2,3,2,2
1,1,1,3,1,1,2,3,1,3
3,2,1,3,3,2,3,3,2,2
3,2,1,2,3,2,2,3,2,1
3,1,1,3,3,3,1,3,1,3
1,2,3,2,2,3,3,1,3,2
1,2,3,2,2,2,1,1,2,1
1,2,3,1,1,3,3,1,3,1
3,2,2,2,3,2,2,1,2,2
2,1,1,3,2,2,2,3,1,2
3,1,1,2,2,2,3,3,2,2
2,2,3,3,3,3,3,2,2,1
3,1,1,2,2,2,2,3,3,2
1,3,3,1,1,3,2,2,3,1
1,3,2,1,2,2,2,2,3,1
2,1,1,3,2,2,1,2,2,1
2,2,2,1,1,3,3,2,3,2
3,1,1,3,3,2,1,3,2,2
1,3,2,2,2,3,2,1,3,1
3,2,1,2,3,3,3,2,2,1
2,3,2,2,2,2,2,1,3,1
2,3,1,2,2,2,2,2,3,1
1,3,2,2,1,3,2,3,3,1
1,2,3,2,1,3,3,1,3,1
1,3,1,3,3,1,1,1,2,2
2,3,1,1,1,2,1,2,3,1
1,2,2,1,1,2,1,2,3,1
3,3,2,1,1,3,3,1,3,2
2,2,3,2,1,3,3,2,3,3
3,1,1,3,3,1,3,3,2,3
3,3,3,3,1,3,1,1,2,3
1,1,2,3,3,2,3,3,3,3
3,2,3,1,1,3,2,1,3,1
2,2,2,1,2,2,2,1,3,1
2,1,1,3,3,3,3,2,1,3
3,1,1,3,3,2,1,3,1,3
2,2,1,2,3,3,2,3,2,1
3,3,2,3,3,3,3,3,2,2
1,1,1,1,1,2,2,2,2,2
1,3,3,2,1,2,2,1,2,1
2,1,3,1,1,3,3,2,2,3
2,2,3,3,1,2,2,1,2,1
2,2,1,2,1,2,2,1,3,1
3,2,1,2,2,2,2,2,2,2
1,3,2,1,1,3,3,1,3,1
2,2,1,1,1,2,1,3,2,1
1,3,2,2,3,2,1,3,3,2
2,2,2,1,2,3,3,2,3,1
1,3,2,3,2,2,3,1,2,1
2,3,3,2,2,3,2,3,3,1
2,3,3,2,2,3,2,3,3,1
2,2,1,3,2,1,1,2,2,3
2,2,1,3,3,2,1,2,1,3
1,3,3,2,2,2,3,1,3,2
1,2,3,1,1,2,1,1,2,1
1,1,3,3,2,1,1,1,1,2
1,3,3,1,1,3,2,1,3,1
2,1,1,2,3,2,3,2,1,1
1,2,2,2,1,3,1,2,2,2
1,2,2,2,3,2,1,3,2,1
1,3,3,2,2,3,3,1,3,1
2,3,2,1,1,2,1,2,2,1
1,3,3,1,1,1,1,1,3,1
3,1,1,3,3,1,2,3,2,3
3,1,2,3,2,2,2,2,2,2
1,2,3,2,1,3,3,1,2,2
2,1,1,3,3,1,3,2,2,2
3,3,1,3,3,3,2,3,2,2
1,3,3,1,2,3,3,3,3,2
1,2,3,3,3,1,1,1,2,1
2,2,2,2,2,3,2,1,3,1
1,3,1,2,1,2,2,1,3,2
1,3,3,2,2,3,3,3,3,2
3,2,2,3,2,2,3,3,2,2
2,2,2,2,1,3,2,2,3,3
1,2,1,1,1,3,2,2,3,1
1,3,1,1,2,3,3,2,3,1
2,2,1,2,1,3,3,2,3,2
2,2,2,2,2,3,2,1,2,2
2,2,2,2,1,3,3,1,2,2
2,2,3,1,1,2,2,1,2,1
3,3,1,1,1,3,3,2,3,1
2,1,1,3,1,1,1,2,1,3
1,3,2,1,3,3,3,3,3,1
2,2,2,2,1,2,1,1,2,1
1,2,2,2,3,2,2,3,3,1
2,2,2,2,2,2,1,2,3,1
2,2,1,1,2,3,3,3,2,1
1,3,3,1,1,2,3,1,3,1
2,3,3,1,1,3,3,2,3,1
2,3,3,2,1,3,3,1,3,1
1,1,3,3,2,1,3,1,1,2
3,2,1,3,1,2,2,3,2,1
2,1,3,3,1,1,1,1,1,2
3,2,2,2,2,3,3,3,2,1
2,3,2,2,2,3,3,2,3,3
1,2,1,2,2,3,2,2,3,1
1,3,3,1,2,2,3,2,3,1
1,2,1,2,1,2,2,1,2,2
2,1,1,3,1,2,1,3,1,1
3,1,2,3,1,2,2,1,2,3
2,2,2,3,1,2,2,2,2,1
2,2,1,3,3,1,1,3,3,3
1,3,2,1,1,3,3,1,3,1
2,2,1,3,3,3,3,2,1,3
2,1,1,3,2,1,1,2,1,3
3,2,3,2,1,2,2,2,2,2
3,2,1,2,3,3,2,3,3,3
2,2,2,2,2,3,2,2,2,2
3,1,1,3,2,2,2,3,1,2
3,2,2,3,1,2,3,2,2,1
2,2,2,3,2,1,1,3,2,3
3,1,1,3,2,2,1,3,2,1
3,1,1,3,2,1,1,1,1,3
1,1,3,3,1,1,2,2,1,1
3,3,2,2,2,3,1,2,2,2
2,2,2,3,3,2,2,3,3,1
1,3,2,1,2,1,3,3,2,1
2,2,2,1,2,2,2,2,3,1
2,1,1,2,2,2,1,3,2,3
1,3,1,1,3,3,3,2,2,2
1,2,1,1,1,1,1,2,2,1
2,1,1,3,3,2,1,2,3,3
2,1,2,3,2,1,2,3,3,3
1,1,1,3,2,1,1,3,2,3
1,2,1,3,1,3,2,2,3,1
1,1,3,2,1,2,2,2,2,1
1,3,2,1,1,3,1,2,3,2
1,3,2,1,3,3,3,2,3,1
3,3,2,3,3,3,3,3,2,2
3,1,1,3,3,1,1,1,1,2
2,3,2,2,1,3,3,3,3,1
2,2,2,1,2,3,3,3,3,1
2,3,2,2,2,2,2,2,3,1
1,2,3,1,1,1,1,2,2,1
2,2,1,1,3,3,2,2,2,2
3,2,2,3,3,3,2,3,3,2
2,1,1,3,2,2,2,2,2,3
3,2,1,3,3,1,1,3,1,1
2,1,1,3,2,2,2,2,3,3
1,1,2,3,2,2,2,2,1,3
3,1,1,3,1,2,3,1,2,1
2,2,2,1,1,3,2,1,2,1
1,3,3,1,1,3,3,1,3,2
2,1,2,3,1,2,1,2,2,1
2,3,1,1,3,2,1,3,3,1
3,2,2,2,2,2,2,3,3,1
2,2,3,2,3,2,2,1,1,3
1,2,3,2,1,2,1,1,2,1
1,1,2,3,1,2,1,1,2,2
2,2,1,1,2,2,3,2,3,1
3,2,1,2,3,2,1,2,2,1
1,2,3,3,1,2,1,1,3,1
1,1,3,1,1,2,1,3,2,2
2,2,2,1,2,2,3,2,2,1
1,2,3,3,1,2,3,1,2,2
2,2,1,3,1,1,1,3,2,3
1,2,2,3,1,2,1,2,2,3
3,2,1,2,2,2,2,2,3,1
1,2,3,1,1,3,3,1,3,1
1,2,3,1,2,3,3,1,3,2
3,2,1,2,3,2,1,3,2,3
1,3,3,1,1,3,2,1,3,1
2,2,1,3,2,3,3,3,3,2
1,3,3,1,1,2,3,1,3,2
3,3,1,1,2,3,1,3,3,1
1,3,2,2,3,2,2,3,2,1
1,2,3,2,1,2,3,1,2,1
2,2,2,1,2,2,3,1,3,1
3,2,1,3,1,2,1,2,2,2
1,2,3,1,2,3,3,3,2,3
2,1,1,3,2,2,2,3,2,3
1,3,3,2,2,3,3,2,3,1
2,1,2,3,2,1,2,2,1,3
1,3,3,2,2,2,1,1,3,1
1,2,2,3,2,1,2,2,2,2
2,2,1,2,1,2,3,3,3,2
1,2,2,3,1,2,1,2,3,1
1,3,2,2,1,3,3,1,3,1
1,3,1,3,1,1,2,1,2,3
3,2,3,2,1,3,2,1,2,1
2,1,1,1,3,2,2,3,3,1
3,2,1,3,1,3,2,1,3,1
1,2,3,2,1,3,3,1,2,2
2,1,2,3,2,2,1,2,2,3
2,2,1,1,1,3,3,1,2,1
1,3,3,1,1,3,2,1,3,1
2,2,1,2,1,2,1,2,3,1
2,3,2,2,3,3,3,1,3,1
2,2,1,3,3,2,1,3,2,1
1,2,3,2,1,2,1,1,2,2
3,3,2,3,2,3,3,1,3,1
3,3,1,3,3,2,1,2,2,3
2,2,1,2,2,2,1,3,3,2
3,2,2,3,3,3,2,3,3,2
2,1,3,3,3,2,1,2,1,1
3,3,1,2,3,2,1,3,2,3
3,2,2,2,1,2,3,2,2,2
1,2,2,3,2,3,1,2,3,1
2,2,1,2,2,2,1,2,2,2
2,2,2,2,2,2,3,2,2,2
1,2,3,3,1,2,3,2,3,1
1,2,3,1,1,2,1,1,2,1
3,2,3,1,1,2,2,2,3,1
3,1,1,3,3,1,2,2,2,3
3,2,3,1,1,3,2,3,2,1
2,3,1,1,1,2,2,2,3,1
3,2,1,2,3,3,3,3,2,3
3,1,1,3,1,2,3,2,1,2
3,2,1,3,3,3,3,3,2,1
2,2,1,2,2,2,1,1,2,1
2,2,2,3,1,2,3,1,2,2
3,2,1,3,2,2,1,3,2,2
3,2,1,3,2,2,2,3,2,1
1,2,3,3,2,2,3,1,3,1
